id;nom;ville;telephone
1;Home synthesize;Chair encryption Jewelery;17492
2;Steel Handcrafted Harbor;system;46817
3;infomediaries;Personal Loan Account Yemeni Rial Electronics;32860
4;leverage Baby;Triple-buffered Developer;76479
5;invoice;Norway West Virginia extend;61851
6;Bedfordshire next-generation Brunei Dollar;Small Rubber Mouse;58073
7;compress Reduced;Refined Wooden Towels;13736
8;auxiliary Washington;granular Dynamic;43222
9;Investment Account cutting-edge Coordinator;Graphic Interface;30463
10;Nevada Advanced;Tasty Rubber Gloves Officer;70566
